image_path,crop,disease,label
datasets\BellPepper_BacterialSpot\9f3a7e14-bd0e-48ea-89c3-9c3bd743fb19___NREC_B.Spot 1956.JPG,bellpepper,bacterialspot,1
datasets\Tomato_Healthy\6c125a79-9b14-4a91-8f03-342910c7fe57___GH_HL Leaf 433.JPG,tomato,healthy,0
datasets\Tomato_EarlyBlight\a2b13360-65ce-4302-8bec-50bdc1b9789d___RS_Erly.B 9446.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\776714ac-7a89-4449-bde9-9b9911f1a371___RS_HL 9886.JPG,tomato,healthy,0
datasets\BellPepper_BacterialSpot\71910a98-a735-4f6d-bd6b-117845ed0ad6___JR_B.Spot 3282.JPG,bellpepper,bacterialspot,1
datasets\Tomato_EarlyBlight\5d45c117-439e-454a-bc77-93a27ce98761___RS_Erly.B 7546.JPG,tomato,earlyblight,1
datasets\Tomato_EarlyBlight\24379205-969e-4cd0-9232-176c83364d60___RS_Erly.B 7617.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\06d90ad5-eb13-49aa-ae04-3a4a5454963d___RS_HL 0620.JPG,tomato,healthy,0
datasets\Tomato_EarlyBlight\eabc47ee-5023-476b-9992-53baa566d270___RS_Erly.B 7757.JPG,tomato,earlyblight,1
datasets\Tomato_Healthy\1528d8ea-c972-4da3-8f66-b4a0de6ace90___RS_HL 0573.JPG,tomato,healthy,0
datasets\BellPepper_Healthy\ab275c68-52f9-4e4d-93de-5df1b7864b8d___JR_HL 8461.JPG,bellpepper,healthy,0
datasets\Tomato_EarlyBlight\06d6d114-8d26-43eb-b79f-44218bbfa0d1___RS_Erly.B 9441.JPG,tomato,earlyblight,1
datasets\BellPepper_Healthy\dfd700a9-cef2-453e-8006-52fd08c0ca35___JR_HL 8770.JPG,bellpepper,healthy,0
datasets\Tomato_Healthy\5fdf7f4f-4847-4492-bda8-01995d192e75___GH_HL Leaf 405.JPG,tomato,healthy,0
datasets\Tomato_EarlyBlight\c83d0821-505b-4270-acd7-1a5c79f671b4___RS_Erly.B 7629.JPG,tomato,earlyblight,1
