image_path,crop,disease,label,severity,for_severity_label
datasets\BellPepper_Healthy\00100ffa-095e-4881-aebf-61fe5af7226e___JR_HL 7886.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\00208a93-7687-4e8c-b79e-3138687e0f38___JR_HL 7955.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\002f87b7-e1a5-49e5-a422-bb423630ded5___JR_HL 8068.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\00726ad4-2569-46ce-9d4e-dbf82b14bd94___JR_HL 8686.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\0119205b-cfac-4322-be37-dcc401fcfa11___JR_HL 8527.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\0137d804-551d-4f78-88b4-d603056dd7e7___JR_HL 7719.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\01468dda-44f3-4de8-8aed-948bcc29b719___JR_HL 8704.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\01482fdd-5dfd-4190-bbc0-6189a3161fae___JR_HL 7983.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\016c8a9f-8eab-41b2-bb4b-0eb6ed0b2a7d___JR_HL 8591.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\016ed5ad-be29-4e9d-8ae5-069a016b1327___JR_HL 8536.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\01d03cb9-4505-458c-a6dc-648dedccd71a___JR_HL 8474.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\01dd93b0-0e34-447b-87ea-ccc9f2b62d03___JR_HL 8005.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\01fbd010-0cc1-4c48-98bc-49e328bf9bbc___JR_HL 8584.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\023563f1-a71a-433d-aefc-d6c7aef8e9eb___JR_HL 8067.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\023f9133-6194-41d5-b4b0-e82821bda698___JR_HL 5884.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\02a7d2e5-9169-4856-9683-d4fa9894e012___JR_HL 8002.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\030eee8e-5db2-4596-8ebc-6ab9b2fec504___JR_HL 5993.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\03138bf7-1441-4df8-88a2-7e71b84f6bf0___JR_HL 5823.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\031f6e91-afc0-48c2-8989-a2ce770549d5___JR_HL 7911.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\03396fd1-be05-40a7-81b2-67000e77d479___JR_HL 8721.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\0354e474-d930-4098-97f8-0acee01817ea___JR_HL 7623.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\035746b5-cbe6-4e5d-9c3a-4bfc5c6cf5a1___JR_HL 7728.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\0367e017-cabb-41e5-9777-79b3c7c9177a___JR_HL 7814.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\036a4558-093c-4317-a9df-742fdfef335a___JR_HL 8310.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\0371d114-2c42-40c5-b2cd-acf2072520e2___JR_HL 7914.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\0379e766-3bb9-4d00-8600-7d818a4b2ebf___JR_HL 7769.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\03a4f6f6-9c17-4310-921b-5dbf97df630a___JR_HL 8571.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\03ab4bf1-bae1-4031-ac4d-14e43a29c397___JR_HL 8013.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\03c966a7-ac9e-4c8e-965a-6c0e7289a0e8___JR_HL 8509.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\03e8ce3f-9bb5-481c-945b-1fa7d5da09e3___JR_HL 7583.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\040fbd7e-faad-4005-8a4d-0d00b824611a___JR_HL 7754.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\0414429e-4295-4216-b2ed-96b21cb35928___JR_HL 8250.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\05208d8a-786d-4e34-86ee-be778d467355___JR_HL 8438.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\058832c8-adaa-4353-b792-93c9b0ea1c72___JR_HL 5931.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\05f73b75-e898-4752-9c9b-ae745994eb01___JR_HL 8801.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\0605e8af-6f30-4a88-b8b1-277904ecef7a___JR_HL 8822.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\0691ea32-a88a-4487-a92c-1159140ff880___JR_HL 7694.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\06ae69f3-53f7-4ad8-b6b0-185dd26b2fc0___JR_HL 7971.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\06f73502-5694-494a-b3cd-d4bf7bf75172___JR_HL 7692.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\075e9bdc-4921-440b-948d-83f30151317c___JR_HL 7958.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\0760194c-efdd-4065-babb-a12f3b7881a6___JR_HL 7591.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\07aae897-44cd-4a0c-9471-1bd6234135b0___JR_HL 8745.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\07eda9a1-8f8a-471b-b3c6-9093c3d6ca90___JR_HL 8177.JPG,bellpepper,healthy,0,0.0,0
datasets\BellPepper_Healthy\07f381f7-bc63-4e41-8bcc-6c5954a14c03___JR_HL 8326.JPG,bellpepper,healthy,0,0.0,0
